"vpnr" "group" "alter" "sex" "hand" "fach" "sprache" "color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "valenz_response" "valenz_rt" "sichtbar_response_pos" "sichtbar_response" "sichtbar_response_text" "sichtbar_korrekt" "sichtbar_rt"
"1" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 0 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 1467 0 6 "nalber" 0 2661
"2" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 1 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 2090 0 9 "yosud" -1 2173
"3" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 2 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 963 0 23 "pimuide" -1 2021
"4" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 3 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 1682 0 0 "permife" 1 2638
"5" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 4 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 1195 0 10 "sleshen" -1 2342
"6" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 5 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 1354 0 13 "kiwehon" 0 2284
"7" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 6 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 1043 0 16 "jaciyn" 0 1236
"8" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 7 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 826 0 15 "hiwawa" 0 3853
"9" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 8 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 875 0 13 "kiwehon" 0 2446
"10" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 0 9 "permife" 0 -1 0 1 6 4 12 24 21 5 4 5 1 914 0 14 "uwimor" -1 1500
"11" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 0 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 1786 0 7 "obacu" 0 2326
"12" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 1 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 1555 0 16 "jaciyn" 0 2374
"13" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 2 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 1026 0 20 "botuyn" 0 1068
"14" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 3 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 954 0 2 "larnist" 0 4269
"15" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 4 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 1074 0 16 "jaciyn" 0 1059
"16" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 5 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 1019 0 3 "noste" 0 1639
"17" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 6 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 890 0 14 "uwimor" -1 1133
"18" "1" 1 19 1 1 1 1 "PSYCHOLOGIE" 1 7 "tewok" 0 -1 0 1 15 5 3 13 7 7 6 7 1 834 0 3 "noste" 0 1086
